iter	Accuracy	Logloss
0	0.8218298555	0.6924247173
1	0.849117175	0.691602939
2	0.849117175	0.6907614838
3	0.849117175	0.6900683929
4	0.849117175	0.689395363
5	0.8507223114	0.6887342827
6	0.849117175	0.6879968163
7	0.8507223114	0.6872459648
8	0.8507223114	0.6865734517
9	0.8507223114	0.6858044306
10	0.849117175	0.6851630157
11	0.849117175	0.6844292392
12	0.8475120385	0.6837330083
13	0.8475120385	0.6829158614
14	0.8443017657	0.6820273871
15	0.8443017657	0.6813689983
16	0.8443017657	0.6806412331
17	0.8443017657	0.6799404843
18	0.8426966292	0.6793209628
19	0.8426966292	0.6784753559
20	0.8459069021	0.6776917686
21	0.8507223114	0.6768434407
22	0.8459069021	0.6762404567
23	0.8459069021	0.6754481649
24	0.8475120385	0.6747543734
25	0.8507223114	0.6740681034
26	0.8507223114	0.6733429651
27	0.849117175	0.6726371374
28	0.8475120385	0.6718814171
29	0.8475120385	0.6711652537
30	0.8475120385	0.6704433916
31	0.849117175	0.6699311725
32	0.8507223114	0.6692634289
33	0.849117175	0.6685927959
34	0.849117175	0.6678746381
35	0.849117175	0.6671153591
36	0.8475120385	0.6665821866
37	0.8475120385	0.6659818082
38	0.8507223114	0.6651607675
39	0.8507223114	0.6645499866
40	0.849117175	0.6639281944
41	0.8507223114	0.6631420059
42	0.849117175	0.6624283007
43	0.849117175	0.6616668165
44	0.8475120385	0.6609990523
45	0.849117175	0.6603303846
46	0.849117175	0.6595744366
47	0.849117175	0.6588709461
48	0.8507223114	0.6581126724
49	0.8507223114	0.6574643339
50	0.849117175	0.6568020065
51	0.849117175	0.6560980276
52	0.8475120385	0.6553739714
53	0.8507223114	0.6547211981
54	0.849117175	0.6540109898
55	0.8507223114	0.6532767449
56	0.8507223114	0.6525960522
57	0.8507223114	0.6519442603
58	0.8507223114	0.6512921113
59	0.849117175	0.6506290309
60	0.8507223114	0.6499570699
61	0.849117175	0.6491721045
62	0.849117175	0.6484573573
63	0.849117175	0.6478428836
64	0.849117175	0.6473371652
65	0.849117175	0.6466028985
66	0.849117175	0.6459719045
67	0.849117175	0.6453121846
68	0.8507223114	0.6448362825
69	0.849117175	0.6442391181
70	0.8507223114	0.643638173
71	0.8507223114	0.6430179954
72	0.8507223114	0.6424306497
73	0.8507223114	0.6417231861
74	0.8507223114	0.6410510939
75	0.8507223114	0.6404824064
76	0.8507223114	0.639889224
77	0.8507223114	0.6394789829
78	0.8507223114	0.6387517422
79	0.8507223114	0.6380695129
80	0.8507223114	0.6375283704
81	0.8507223114	0.6369158891
82	0.8507223114	0.6362275718
83	0.849117175	0.6357375507
84	0.849117175	0.6350916857
85	0.8507223114	0.6344724122
86	0.8507223114	0.6339052834
87	0.8507223114	0.6332989584
88	0.8507223114	0.6326448333
89	0.8507223114	0.631995265
90	0.8507223114	0.6313813255
91	0.8507223114	0.630790278
92	0.849117175	0.6300966501
93	0.849117175	0.6294991134
94	0.849117175	0.6289377871
95	0.849117175	0.6283619336
96	0.849117175	0.6278892397
97	0.849117175	0.6273116139
98	0.849117175	0.626654706
99	0.849117175	0.6261263732
100	0.849117175	0.6256956148
101	0.849117175	0.6250376648
102	0.849117175	0.6243677361
103	0.849117175	0.6237359483
104	0.849117175	0.6230810535
105	0.849117175	0.6224900469
106	0.849117175	0.6218519633
107	0.8507223114	0.6212503803
108	0.849117175	0.6205983696
109	0.8507223114	0.6198816564
110	0.8507223114	0.6192689261
111	0.8507223114	0.6187190991
112	0.8507223114	0.6181081593
113	0.8507223114	0.6175968297
114	0.8507223114	0.6170549207
115	0.8507223114	0.6164709652
116	0.849117175	0.6159416769
117	0.8507223114	0.615259182
118	0.8507223114	0.6147647921
119	0.8507223114	0.6141082685
120	0.8507223114	0.6134505342
121	0.8507223114	0.6130356502
122	0.8507223114	0.6126357209
123	0.8507223114	0.6121852992
124	0.8507223114	0.6116480935
125	0.8507223114	0.6110899147
126	0.8507223114	0.6104884893
127	0.8507223114	0.6099716635
128	0.8507223114	0.6094494252
129	0.8507223114	0.6088809662
130	0.8507223114	0.6084796437
131	0.8507223114	0.6080227944
132	0.8507223114	0.6074698298
133	0.8507223114	0.6069294037
134	0.8507223114	0.6064195567
135	0.8507223114	0.6058632054
136	0.8507223114	0.6052280603
137	0.8507223114	0.6046566664
138	0.8507223114	0.6042153291
139	0.8507223114	0.6039079027
140	0.8507223114	0.6035785377
141	0.8507223114	0.6031195385
142	0.8507223114	0.6025893434
143	0.8507223114	0.6019560482
144	0.8507223114	0.6014329452
145	0.8507223114	0.6009206949
146	0.8507223114	0.6003509292
147	0.8507223114	0.5997767901
148	0.8507223114	0.5992903992
149	0.8507223114	0.5988363788
150	0.849117175	0.5983447834
151	0.849117175	0.5978175653
152	0.8507223114	0.5972391509
153	0.8507223114	0.5967025353
154	0.8507223114	0.5961217055
155	0.8507223114	0.5956684672
156	0.8507223114	0.5951877945
157	0.8507223114	0.5947462774
158	0.8507223114	0.5942514731
159	0.8507223114	0.5936965414
160	0.8507223114	0.5931436506
161	0.8507223114	0.5925757216
162	0.8507223114	0.5920563668
163	0.8507223114	0.5915940499
164	0.849117175	0.5910911704
165	0.849117175	0.5906202712
166	0.849117175	0.5901769937
167	0.849117175	0.5896549909
168	0.849117175	0.5891759568
169	0.849117175	0.5886308521
170	0.849117175	0.5881517587
171	0.849117175	0.5876721715
172	0.8507223114	0.5871704906
173	0.8507223114	0.5868017014
174	0.8507223114	0.5863230845
175	0.8507223114	0.5858004754
176	0.8507223114	0.585319938
177	0.8507223114	0.5849006042
178	0.8507223114	0.5843405195
179	0.8507223114	0.5838365054
180	0.8507223114	0.5832647515
181	0.8507223114	0.5828893858
182	0.8507223114	0.5824887324
183	0.8507223114	0.5821383738
184	0.8507223114	0.5815792221
185	0.8507223114	0.5810427806
186	0.8507223114	0.5806014013
187	0.8507223114	0.5800634062
188	0.8507223114	0.5796103826
189	0.8507223114	0.5793482412
190	0.8507223114	0.5788873889
191	0.8507223114	0.5784435599
192	0.8507223114	0.578057124
193	0.8507223114	0.5774492918
194	0.8507223114	0.5769998488
195	0.8507223114	0.5764729861
196	0.8507223114	0.5760230658
197	0.8507223114	0.575598767
198	0.8507223114	0.5751730566
199	0.8507223114	0.574649603
200	0.8507223114	0.5741681919
201	0.8507223114	0.5737146086
202	0.8507223114	0.5733137158
203	0.8507223114	0.5727888545
204	0.8507223114	0.5723233643
205	0.8507223114	0.5718131868
206	0.8507223114	0.5713437664
207	0.8507223114	0.5708557622
208	0.8507223114	0.5704235648
209	0.8507223114	0.5699750684
210	0.8507223114	0.5695212318
211	0.8507223114	0.5690498179
212	0.8507223114	0.5685625817
213	0.8507223114	0.5681264984
214	0.8507223114	0.5677157333
215	0.8507223114	0.5672743609
216	0.8507223114	0.5668802014
217	0.8507223114	0.5666115314
218	0.8507223114	0.5661135549
219	0.8507223114	0.5656030321
220	0.8507223114	0.5652142559
221	0.8507223114	0.564808871
222	0.8507223114	0.5642867674
223	0.8507223114	0.5638018854
224	0.8507223114	0.563431237
225	0.8507223114	0.5631254601
226	0.8507223114	0.5627333137
227	0.8507223114	0.5622776522
228	0.8507223114	0.5618359852
229	0.8507223114	0.5613525336
230	0.849117175	0.5610372434
231	0.8507223114	0.5606356539
232	0.8507223114	0.5602519021
233	0.849117175	0.5598737463
234	0.849117175	0.5594418423
235	0.849117175	0.5589413928
236	0.849117175	0.5584648428
237	0.849117175	0.5581251232
238	0.849117175	0.5576902945
239	0.849117175	0.5572402149
240	0.849117175	0.5567515957
241	0.849117175	0.5562608037
242	0.849117175	0.5557492457
243	0.8507223114	0.5552785433
244	0.8507223114	0.5549004634
245	0.8507223114	0.5545743691
