iter	Passed	Remaining
0	8	4103
1	15	3853
2	22	3687
3	30	3735
4	35	3560
5	41	3447
6	48	3435
7	54	3368
8	59	3268
9	65	3197
10	70	3126
11	76	3120
12	81	3069
13	88	3057
14	94	3058
15	100	3025
16	105	3006
17	110	2967
18	119	3025
19	126	3041
20	132	3016
21	139	3033
22	144	2990
23	150	2976
24	155	2957
25	161	2944
26	166	2916
27	173	2919
28	178	2899
29	185	2906
30	190	2888
31	194	2845
32	202	2872
33	208	2856
34	217	2888
35	222	2866
36	226	2829
37	230	2804
38	235	2788
39	242	2784
40	248	2779
41	256	2796
42	263	2800
43	269	2797
44	275	2784
45	283	2798
46	289	2791
47	295	2778
48	301	2779
49	308	2780
50	321	2831
51	327	2822
52	336	2839
53	341	2824
54	351	2842
55	358	2846
56	368	2860
57	378	2887
58	390	2915
59	403	2959
60	417	3006
61	428	3030
62	438	3042
63	445	3037
64	455	3045
65	467	3072
66	472	3055
67	477	3032
68	486	3036
69	495	3045
70	501	3031
71	506	3011
72	511	2991
73	517	2979
74	523	2966
75	534	2979
76	542	2978
77	550	2979
78	561	2990
79	568	2984
80	576	2983
81	586	2989
82	595	2992
83	599	2968
84	605	2954
85	616	2965
86	621	2950
87	626	2934
88	632	2919
89	643	2929
90	648	2915
91	659	2922
92	664	2909
93	672	2903
94	677	2890
95	682	2873
96	688	2859
97	693	2844
98	702	2844
99	710	2841
100	715	2825
101	720	2813
102	729	2811
103	736	2806
104	748	2815
105	756	2811
106	766	2813
107	771	2798
108	777	2789
109	784	2782
110	792	2776
111	799	2769
112	806	2762
113	816	2765
114	823	2756
115	829	2746
116	834	2732
117	841	2724
118	845	2707
119	850	2693
120	857	2685
121	862	2670
122	868	2661
123	875	2655
124	883	2651
125	888	2638
126	893	2625
127	899	2614
128	905	2605
129	916	2609
130	923	2600
131	928	2587
132	942	2600
133	950	2596
134	960	2595
135	967	2589
136	980	2597
137	990	2598
138	999	2594
139	1004	2582
140	1011	2575
141	1020	2571
142	1030	2573
143	1041	2576
144	1051	2575
145	1066	2586
146	1085	2607
147	1095	2606
148	1110	2616
149	1121	2617
150	1136	2626
151	1145	2622
152	1157	2624
153	1169	2627
154	1180	2628
155	1191	2626
156	1203	2630
157	1215	2631
158	1221	2618
159	1231	2617
160	1238	2606
161	1249	2607
162	1261	2608
163	1271	2604
164	1279	2597
165	1285	2585
166	1294	2580
167	1307	2584
168	1319	2583
169	1324	2571
170	1329	2558
171	1341	2558
172	1352	2557
173	1365	2558
174	1376	2555
175	1389	2558
176	1400	2556
177	1406	2544
178	1418	2544
179	1429	2540
180	1441	2539
181	1447	2529
182	1452	2516
183	1459	2507
184	1469	2501
185	1475	2491
186	1490	2494
187	1499	2488
188	1508	2482
189	1514	2471
190	1527	2471
191	1541	2472
192	1552	2469
193	1563	2466
194	1579	2469
195	1594	2472
196	1607	2472
197	1618	2469
198	1634	2471
199	1649	2473
200	1661	2472
201	1677	2475
202	1688	2470
203	1708	2479
204	1713	2466
205	1719	2453
206	1725	2442
207	1737	2438
208	1742	2426
209	1752	2420
210	1763	2414
211	1773	2409
212	1784	2404
213	1790	2393
214	1797	2382
215	1811	2381
216	1818	2371
217	1827	2363
218	1834	2353
219	1842	2344
220	1853	2340
221	1858	2327
222	1865	2317
223	1872	2307
224	1877	2294
225	1884	2284
226	1889	2272
227	1898	2265
228	1906	2256
229	1914	2247
230	1923	2239
231	1933	2233
232	1939	2222
233	1943	2209
234	1949	2198
235	1956	2188
236	1961	2176
237	1967	2165
238	1973	2154
239	1980	2145
240	1986	2134
241	1996	2128
242	2001	2117
243	2009	2108
244	2016	2099
245	2022	2088
246	2028	2077
247	2034	2067
248	2039	2056
249	2045	2045
250	2054	2038
251	2059	2027
252	2068	2019
253	2080	2014
254	2085	2004
255	2091	1993
256	2096	1982
257	2102	1971
258	2108	1961
259	2115	1953
260	2122	1943
261	2130	1935
262	2134	1923
263	2141	1914
264	2150	1906
265	2156	1897
266	2163	1887
267	2168	1877
268	2178	1870
269	2183	1860
270	2188	1849
271	2198	1842
272	2208	1836
273	2220	1831
274	2232	1826
275	2242	1820
276	2250	1811
277	2262	1806
278	2275	1802
279	2284	1795
280	2288	1783
281	2300	1778
282	2306	1768
283	2315	1760
284	2323	1752
285	2332	1745
286	2339	1736
287	2348	1728
288	2358	1721
289	2366	1713
290	2378	1708
291	2385	1698
292	2397	1693
293	2410	1689
294	2421	1682
295	2436	1679
296	2444	1670
297	2451	1661
298	2462	1655
299	2473	1649
300	2481	1640
301	2492	1634
302	2503	1627
303	2517	1623
304	2528	1616
305	2537	1608
306	2550	1603
307	2558	1594
308	2570	1588
309	2584	1584
310	2598	1579
311	2607	1571
312	2617	1563
313	2630	1558
314	2638	1549
315	2646	1541
316	2653	1531
317	2659	1522
318	2669	1514
319	2674	1504
320	2679	1494
321	2685	1484
322	2692	1475
323	2702	1468
324	2714	1461
325	2723	1453
326	2732	1445
327	2746	1440
328	2754	1431
329	2765	1424
330	2773	1416
331	2780	1407
332	2787	1398
333	2798	1390
334	2808	1383
335	2821	1377
336	2833	1370
337	2846	1364
338	2854	1355
339	2861	1346
340	2870	1338
341	2874	1328
342	2880	1318
343	2892	1311
344	2900	1302
345	2905	1293
346	2916	1286
347	2929	1279
348	2936	1270
