title,module_title,count_module
Excel Базовый, Визуализация данных Excel,5
Excel Базовый,Основной функционал Excel,11
Excel Базовый,Основной функционал Excel (продолжение),7
Excel Базовый,Сводные таблицы Excel,5
Excel Базовый,Формулы и функции Excel. Более сложные формулы,5
Excel Базовый,Формулы и функции Excel. Введение,3
Excel Базовый,Формулы и функции Excel. Продолжаем работать с формулами,7
Excel Базовый,"Формулы и функции Excel. Работа с ошибками, проверка данных",5
Excel Базовый,Экзаменационная работа ,1
Java-разработчик,Вводный модуль,8
Java-разработчик,"Веб-приложения: формы, заголовки и сессии",6
Java-разработчик,Внешний вид GUI и рисование,7
Java-разработчик,Заключительный модуль,8
Java-разработчик,Итоговая тема,1
Java-разработчик,Массивы и коллекции,7
Java-разработчик,Многопоточность,7
Java-разработчик,Наследование и полиморфизм,6
Java-разработчик,Объекты и классы,9
Java-разработчик,Оптимизация кода и приложений,5
Java-разработчик,Основы построения GUI,7
Java-разработчик,Основы построения веб-приложений,7
Java-разработчик,Работа с базами данных,6
Java-разработчик,Работа с файлами и сетью,8
Java-разработчик,Синтаксис языка,8
Java-разработчик,Тестирование и отладка,5
Java-разработчик,"Числа, строки и даты",9
Java-разработчик c нуля,Вводный модуль,7
Java-разработчик c нуля,"Исключения, отладка, тестирование и логгирование",9
Java-разработчик c нуля,Массивы и коллекции,13
Java-разработчик c нуля,Наследование и полиморфизм,10
Java-разработчик c нуля,Объекты и классы,10
Java-разработчик c нуля,Особенности ООП в Java,12
Java-разработчик c нуля,Работа с файлами и сетью,11
Java-разработчик c нуля,Синтаксис языка,6
Java-разработчик c нуля,"Числа, строки и даты",27
JavaScript с нуля,JavaScript в браузере; DOM,8
JavaScript с нуля,React,6
JavaScript с нуля,Redux,7
JavaScript с нуля,Web API,9
JavaScript с нуля,jQuery,7
JavaScript с нуля,Бонус,3
JavaScript с нуля,Замыкания,5
JavaScript с нуля,Знакомство с языком,7
JavaScript с нуля,Клиент и сервер,6
JavaScript с нуля,Массивы и объекты,9
JavaScript с нуля,Объектно-ориентированное программирование,5
JavaScript с нуля,Объекты и конструкторы,4
JavaScript с нуля,Основы,12
JavaScript с нуля,Разное,7
JavaScript с нуля,Сборка проектов,6
JavaScript с нуля,Современный JavaScript; ES 2015,9
JavaScript с нуля,Функции,8
JavaScript с нуля,Экзаменационное задание,1
PHP-разработчик с 0 до PRO. Часть 1,Cookie/Session,3
PHP-разработчик с 0 до PRO. Часть 1,База данных MySQL,13
PHP-разработчик с 0 до PRO. Часть 1,Введение в программирование,5
PHP-разработчик с 0 до PRO. Часть 1,Курсовая работа,1
PHP-разработчик с 0 до PRO. Часть 1,Пользовательские функции,4
PHP-разработчик с 0 до PRO. Часть 1,Протокол HTTP/HTTPS,4
PHP-разработчик с 0 до PRO. Часть 1,Структура управления данными. Базовые концепции PHP 7,7
PHP-разработчик с 0 до PRO. Часть 1,Файлы и каталоги,4
SMM-маркетолог от А до Я,Бонусный модуль,5
SMM-маркетолог от А до Я,Дизайн для не дизайнеров,4
SMM-маркетолог от А до Я,Запуск проекта и управление командой,7
SMM-маркетолог от А до Я,Информация о дипломном проекте,1
SMM-маркетолог от А до Я,Как писать хорошие тексты,6
SMM-маркетолог от А до Я,Как работать с клиентом,5
SMM-маркетолог от А до Я,Коммьюнити-менеджмент,6
SMM-маркетолог от А до Я,Постановка задачи и анализ ,6
SMM-маркетолог от А до Я,"Продвижение в VK, FB, MyTarget",8
SMM-маркетолог от А до Я,Разработка креативных решений,7
SMM-маркетолог от А до Я,Разработка стратегии продвижения в Social Media,7
UX-дизайн,Concept design: творчество в дизайне,8
UX-дизайн,Data driven design: теория и практика,5
UX-дизайн,Service design: теория и практика,5
UX-дизайн,UX-проектирование. Исследование интерфейсов,7
UX-дизайн,UX-проектирование. Паттерны и психология пользователя,4
UX-дизайн,Visual design теория и практика,5
UX-дизайн,Бонус-модуль,2
UX-дизайн,Бонус-модуль. Анимация интерфейсных элементов,1
