title,field,students_count
Excel Базовый,Business,782
Java-разработчик,Development,763
Java-разработчик c нуля,Development,581
JavaScript с нуля,Development,966
PHP-разработчик с 0 до PRO. Часть 1,Development,854
SMM-маркетолог от А до Я,Marketing,506
UX-дизайн,Design,1151
Анимация интерфейсов,Design,598
Веб-вёрстка для начинающих 2.0,Development,2004
Веб-дизайн PRO 2.0,Design,1711
Веб-дизайн Базовый,Design,518
Веб-дизайн с нуля 2.0,Design,2014
Веб-разработчик,Development,628
Интернет-маркетолог от Ingate,Marketing,2168
Руководитель digital-проектов,Business,685
